文本名字,情感浓度
《徐霞客游记》盘江考_译文.txt,0.4853801169590643
《徐霞客游记》粤西游日记一_译文.txt,0.46121057118499575
《徐霞客游记》粤西游日记七_译文.txt,0.46293888166449937
《徐霞客游记》粤西游日记三_译文.txt,0.4975728155339806
《徐霞客游记》粤西游日记三十_译文.txt,0.4562989752863171
《徐霞客游记》粤西游日记三十一_译文.txt,0.47320261437908495
《徐霞客游记》粤西游日记三十七_译文.txt,0.4136664217487142
《徐霞客游记》粤西游日记三十三_译文.txt,0.44434222631094755
《徐霞客游记》粤西游日记三十九_译文.txt,0.4679334916864608
《徐霞客游记》粤西游日记三十二_译文.txt,0.4680249009620826
《徐霞客游记》粤西游日记三十五_译文.txt,0.40988711560918645
《徐霞客游记》粤西游日记三十八_译文.txt,0.4454428754813864
《徐霞客游记》粤西游日记三十六_译文.txt,0.4444444444444444
《徐霞客游记》粤西游日记三十四_译文.txt,0.4495114006514658
《徐霞客游记》粤西游日记九_译文.txt,0.4481751824817518
《徐霞客游记》粤西游日记二_译文.txt,0.3951048951048951
《徐霞客游记》粤西游日记二十_译文.txt,0.4453268173488088
《徐霞客游记》粤西游日记二十一_译文.txt,0.4533724340175953
《徐霞客游记》粤西游日记二十七_译文.txt,0.3768506056527591
《徐霞客游记》粤西游日记二十三_译文.txt,0.47692307692307695
《徐霞客游记》粤西游日记二十九_译文.txt,0.4280955024986119
《徐霞客游记》粤西游日记二十二_译文.txt,0.4561965811965812
《徐霞客游记》粤西游日记二十五_译文.txt,0.4392523364485981
《徐霞客游记》粤西游日记二十八_译文.txt,0.4258639910813824
《徐霞客游记》粤西游日记二十六_译文.txt,0.4358974358974359
《徐霞客游记》粤西游日记二十四_译文.txt,0.46891002194586684
《徐霞客游记》粤西游日记五_译文.txt,0.4797385620915033
《徐霞客游记》粤西游日记八_译文.txt,0.4815950920245399
《徐霞客游记》粤西游日记六_译文.txt,0.4608150470219436
《徐霞客游记》粤西游日记十_译文.txt,0.4131918119787718
《徐霞客游记》粤西游日记十一_译文.txt,0.4469565217391304
《徐霞客游记》粤西游日记十七_译文.txt,0.37722611980572046
《徐霞客游记》粤西游日记十三_译文.txt,0.37185929648241206
《徐霞客游记》粤西游日记十九_译文.txt,0.4365024288688411
《徐霞客游记》粤西游日记十二_译文.txt,0.43360234776228906
《徐霞客游记》粤西游日记十五_译文.txt,0.46864686468646866
《徐霞客游记》粤西游日记十八_译文.txt,0.3969914977109222
《徐霞客游记》粤西游日记十六_译文.txt,0.32646880678376744
《徐霞客游记》粤西游日记十四_译文.txt,0.45816072908036454
《徐霞客游记》粤西游日记四_译文.txt,0.4848130841121495
《徐霞客游记》近腾诸彝说略_译文.txt,0
《徐霞客游记》闽游日记前_译文.txt,0.4854054054054054
《徐霞客游记》闽游日记后_译文.txt,0.3967065868263473
《徐霞客游记》随笔二则_译文.txt,0.2706333973128599
《徐霞客游记》鸡山志略一_译文.txt,0.503030303030303
《徐霞客游记》鸡山志略二_译文.txt,0.4612546125461255
《徐霞客游记》鸡山志目_译文.txt,0.52
《徐霞客游记》黔游日记一_译文.txt,0.36444444444444446
《徐霞客游记》黔游日记七_译文.txt,0.4059003051881994
《徐霞客游记》黔游日记三_译文.txt,0.4430856067732832
《徐霞客游记》黔游日记二_译文.txt,0.4888673765730881
《徐霞客游记》黔游日记五_译文.txt,0.46439628482972134
《徐霞客游记》黔游日记八_译文.txt,0.36392606755895474
《徐霞客游记》黔游日记六_译文.txt,0.4124031007751938
《徐霞客游记》黔游日记四_译文.txt,0.4116809116809117
